condition_id,model,model_label,mode,rows,mean,median,std,min,max,p10,p90,iqr,bootstrap_ci90_low,bootstrap_ci90_high,low_quality_count,student_facing_pass_count,student_facing_pass_rate
C01,Qwen_Qwen3.5-0.8B,Qwen3.5 0.8B,non_thinking,20,0.4,0.5,0.22797737653224784,0.0,0.75,0.125,0.6375000000000002,0.3125,0.31875,0.48125,9,1,0.05
C02,Qwen_Qwen3.5-2B,Qwen3.5 2B,non_thinking,20,0.65,0.625,0.25196595425823537,0.125,1.0,0.36250000000000004,1.0,0.375,0.55625,0.7375,4,5,0.25
C03,Qwen_Qwen3.5-4B,Qwen3.5 4B,non_thinking,20,0.84375,1.0,0.23604122632776628,0.25,1.0,0.48750000000000004,1.0,0.25,0.75625,0.925,2,15,0.75
C04,google_gemma-4-E2B-it,Gemma 4 E2B,non_thinking,20,0.775,0.875,0.17490598978639324,0.25,0.875,0.5,0.875,0.125,0.70625,0.83125,1,13,0.65
C05,google_gemma-4-E4B-it,Gemma 4 E4B,non_thinking,20,0.725,0.8125,0.18406949488540575,0.375,0.875,0.48750000000000004,0.875,0.28125,0.65625,0.7875,2,11,0.55
