mode,model,slug,size_b,row_count,faithfulness,answer_relevancy,answer_correctness,semantic_similarity,faithfulness_missing,answer_relevancy_missing,answer_correctness_missing,semantic_similarity_missing
non_thinking,Qwen3.5 0.8B,Qwen_Qwen3.5-0.8B,0.8,20,0.6009151667046406,0.6433692520606485,0.26784982902877963,0.5451900715550402,1,0,1,0
thinking,Qwen3.5 0.8B,Qwen_Qwen3.5-0.8B,0.8,20,0.5846751262153738,0.580378971485894,0.35768757273844853,0.5629733042665908,0,0,0,0
non_thinking,Qwen3.5 2B,Qwen_Qwen3.5-2B,2.0,20,0.7341504964763479,0.6165428496422918,0.3834832081111142,0.5594419517668753,0,0,0,0
thinking,Qwen3.5 2B,Qwen_Qwen3.5-2B,2.0,20,0.6987786519036518,0.434816509573977,0.3601801988003451,0.5803834434035938,1,0,2,0
non_thinking,Qwen3.5 4B,Qwen_Qwen3.5-4B,4.0,20,0.8225944888444889,0.6409104912412467,0.41973337425206425,0.5629416579649473,0,0,0,0
thinking,Qwen3.5 4B,Qwen_Qwen3.5-4B,4.0,20,0.8167857142857144,0.5601884018513192,0.38672072367039073,0.5900959316445997,0,0,0,0
