variant_id,variant_label,answers,mean_human_quality,mean_answer_acceptance,mean_readability,mean_citation_usefulness,mean_over_answering_risk,clean_pass_rate,blocking_cases,blocking_rate,source_fit_rate,mean_gold_source_recall,gold_evaluated_cases,mean_mrr,mean_retrieval_seconds,mean_generation_seconds,top_failure_tags
R0_basic_hybrid,R0 Basic hybrid,30,0.7542,1.1333,1.8,1.1333,0.0333,0.4,9,0.3,0.8,0.355,30,0.4494,0.1547,2.6839,evidence_insufficient:8; retrieval_miss:8; missing_key_condition:3; language_or_format_failure:1; verbose_low_quality:1
R1_japanese_fts,R1 + Japanese FTS,30,0.7375,1.0333,1.8667,1.0333,0.0333,0.3333,10,0.3333,0.8667,0.3289,30,0.4567,0.3079,2.8117,retrieval_miss:10; evidence_insufficient:9; missing_key_condition:3; language_or_format_failure:1; verbose_low_quality:1
R2_metadata_exact,R2 + metadata exact channels,30,0.7625,1.0667,1.8667,1.2,0.0333,0.3333,9,0.3,0.8,0.3494,30,0.4567,0.3166,2.6483,evidence_insufficient:10; retrieval_miss:10; missing_key_condition:2; verbose_low_quality:1
R3_reranker,R3 + BGE reranker,30,0.8042,1.2667,1.9,1.3333,0.0667,0.4,4,0.1333,0.7667,0.5144,30,0.5483,0.5239,3.0003,evidence_insufficient:10; missing_key_condition:5; retrieval_miss:4
R4_full_current,R4 full current,30,0.8333,1.3333,1.9333,1.4667,0.0667,0.4333,3,0.1,0.8333,0.6189,30,0.6105,0.4772,2.9002,missing_key_condition:8; evidence_insufficient:8; retrieval_miss:3
