case_id,category,language,variant_id,source_fit,authority_source_present,course_record_present,top_title,top_source_type,source_type_counts
s30_010,language,ja,R1_japanese_fts,1,1,0,ELA生のためのJLP科目について,portal_notice,"{""portal_notice"": 1, ""pdf_document"": 4}"
s30_011,campus_life,en,R1_japanese_fts,1,1,0,宗務センター Religious Center - CHAPEL HOUR,web_page,"{""web_page"": 4, ""pdf_document"": 1}"
s30_012,calendar,en,R1_japanese_fts,1,1,0,AY2026 Spring Term Registration – Course Registration Procedures,portal_notice,"{""portal_notice"": 4, ""portal_calendar_event"": 1}"
s30_013,credits,en,R1_japanese_fts,1,1,0,ehandbook - Transfer Students,ehandbook_page,"{""ehandbook_page"": 3, ""web_page"": 1, ""pdf_document"": 1}"
s30_014,office,ja,R1_japanese_fts,1,1,0,コンパクト版,pdf_document,"{""pdf_document"": 3, ""ehandbook_page"": 2}"
s30_015,policy,en,R1_japanese_fts,1,1,0,A survey result on the use of ICU Portal is available,portal_notice,"{""portal_notice"": 4, ""web_page"": 1}"
s30_016,course,en,R1_japanese_fts,1,0,1,Logic Programming,course_record,"{""course_record"": 5}"
s30_017,course,en,R1_japanese_fts,1,0,1,S2: Statistical Information Literacy,course_record,"{""course_record"": 5}"
s30_018,course,ja,R1_japanese_fts,1,1,1,自己点検・評価報告書（2009年）,pdf_document,"{""pdf_document"": 1, ""course_record"": 2, ""web_page"": 2}"
s30_019,registration,ja,R1_japanese_fts,1,1,0,コンパクト版,pdf_document,"{""pdf_document"": 1, ""ehandbook_page"": 3, ""web_page"": 1}"
s30_020,course_materials,en,R1_japanese_fts,1,1,0,Spring AY2026 Textbook Purchase,portal_notice,"{""portal_notice"": 5}"
s30_021,curriculum,en,R1_japanese_fts,0,0,1,Introduction to Capital Markets,course_record,"{""course_record"": 5}"
s30_022,curriculum,en,R1_japanese_fts,0,0,1,Introduction to Capital Markets,course_record,"{""course_record"": 5}"
s30_023,curriculum,ja,R1_japanese_fts,1,1,1,Q&A｜国際基督教大学（ICU）,web_page,"{""web_page"": 1, ""course_record"": 2, ""pdf_document"": 2}"
s30_024,curriculum,zh,R1_japanese_fts,1,1,0,ソーシャルメディア公式アカウント｜国際基督教大学（ICU）,web_page,"{""web_page"": 3, ""pdf_document"": 2}"
s30_025,policy,ja,R1_japanese_fts,0,0,0,大学認証評価結果（2024年）,pdf_document,"{""pdf_document"": 5}"
s30_026,policy,en,R1_japanese_fts,0,0,1,Senior Thesis,course_record,"{""course_record"": 5}"
s30_027,policy,zh,R1_japanese_fts,1,1,1,ソーシャルメディア公式アカウント｜国際基督教大学（ICU）,web_page,"{""web_page"": 1, ""course_record"": 4}"
s30_028,course,ja,R1_japanese_fts,1,1,1,情報科学 | ICU - Department of Natural Sciences,web_page,"{""web_page"": 2, ""course_record"": 3}"
s30_029,course,zh,R1_japanese_fts,1,1,1,ソーシャルメディア公式アカウント｜国際基督教大学（ICU）,web_page,"{""web_page"": 1, ""course_record"": 4}"
s30_030,registration,en,R1_japanese_fts,1,1,0,ehandbook - Course Registration,ehandbook_page,"{""ehandbook_page"": 4, ""portal_notice"": 1}"
s30_001,language,en,R2_metadata_exact,1,1,0,JLP Leaflet,pdf_document,"{""pdf_document"": 4, ""portal_notice"": 1}"
s30_002,registration,en,R2_metadata_exact,1,1,1,Mental Health,course_record,"{""course_record"": 3, ""ehandbook_page"": 2}"
s30_003,registration,en,R2_metadata_exact,1,1,1,ehandbook - Registration Withdrawal,ehandbook_page,"{""ehandbook_page"": 3, ""course_record"": 2}"
s30_004,major,en,R2_metadata_exact,1,1,0,Graduate School - Credit Transfer,web_page,"{""web_page"": 4, ""pdf_document"": 1}"
s30_005,graduation,en,R2_metadata_exact,0,0,1,Senior Thesis,course_record,"{""course_record"": 5}"
s30_006,student_status,en,R2_metadata_exact,1,1,1,Elements of Discrete Mathematics,course_record,"{""course_record"": 3, ""web_page"": 2}"
s30_007,student_support,en,R2_metadata_exact,0,0,1,Counseling,course_record,"{""course_record"": 5}"
s30_008,student_support,en,R2_metadata_exact,1,1,0,LAS leaflet 2024.pdf,pdf_document,"{""pdf_document"": 1, ""web_page"": 4}"
s30_009,it,en,R2_metadata_exact,1,1,0,Disclosure｜ICU - INTERNATIONAL CHRISTIAN UNIVERSITY,web_page,"{""web_page"": 4, ""pdf_document"": 1}"
s30_010,language,ja,R2_metadata_exact,1,1,0,ELA生のためのJLP科目について,portal_notice,"{""portal_notice"": 1, ""web_page"": 1, ""pdf_document"": 3}"
s30_011,campus_life,en,R2_metadata_exact,1,1,0,here,pdf_document,"{""pdf_document"": 2, ""web_page"": 3}"
s30_012,calendar,en,R2_metadata_exact,1,1,0,AY2026 Spring Term Registration – Course Registration Procedures,portal_notice,"{""portal_notice"": 4, ""portal_calendar_event"": 1}"
s30_013,credits,en,R2_metadata_exact,1,1,0,ehandbook - Transfer Students,ehandbook_page,"{""ehandbook_page"": 3, ""web_page"": 1, ""pdf_document"": 1}"
s30_014,office,ja,R2_metadata_exact,1,1,0,コンパクト版,pdf_document,"{""pdf_document"": 3, ""ehandbook_page"": 2}"
s30_015,policy,en,R2_metadata_exact,1,1,0,A survey result on the use of ICU Portal is available,portal_notice,"{""portal_notice"": 4, ""web_page"": 1}"
s30_016,course,en,R2_metadata_exact,1,0,1,Logic Programming,course_record,"{""course_record"": 5}"
s30_017,course,en,R2_metadata_exact,1,0,1,S2: Statistical Information Literacy,course_record,"{""course_record"": 5}"
s30_018,course,ja,R2_metadata_exact,1,1,1,Middle English,course_record,"{""course_record"": 3, ""pdf_document"": 1, ""web_page"": 1}"
s30_019,registration,ja,R2_metadata_exact,1,1,0,コンパクト版,pdf_document,"{""pdf_document"": 1, ""ehandbook_page"": 3, ""web_page"": 1}"
s30_020,course_materials,en,R2_metadata_exact,1,1,1,Systems Biology,course_record,"{""course_record"": 3, ""portal_notice"": 2}"
s30_021,curriculum,en,R2_metadata_exact,0,0,1,Introduction to Capital Markets,course_record,"{""course_record"": 5}"
s30_022,curriculum,en,R2_metadata_exact,0,0,1,Introduction to Capital Markets,course_record,"{""course_record"": 5}"
s30_023,curriculum,ja,R2_metadata_exact,1,1,1,Q&A｜国際基督教大学（ICU）,web_page,"{""web_page"": 1, ""course_record"": 2, ""pdf_document"": 2}"
s30_024,curriculum,zh,R2_metadata_exact,1,1,0,ソーシャルメディア公式アカウント｜国際基督教大学（ICU）,web_page,"{""web_page"": 3, ""pdf_document"": 2}"
s30_025,policy,ja,R2_metadata_exact,0,0,0,大学認証評価結果（2024年）,pdf_document,"{""pdf_document"": 5}"
s30_026,policy,en,R2_metadata_exact,0,0,1,Senior Thesis,course_record,"{""course_record"": 5}"
s30_027,policy,zh,R2_metadata_exact,1,1,1,ソーシャルメディア公式アカウント｜国際基督教大学（ICU）,web_page,"{""web_page"": 1, ""course_record"": 4}"
s30_028,course,ja,R2_metadata_exact,1,1,1,Robotics,course_record,"{""course_record"": 3, ""web_page"": 2}"
s30_029,course,zh,R2_metadata_exact,1,1,1,Robotics,course_record,"{""course_record"": 4, ""web_page"": 1}"
s30_030,registration,en,R2_metadata_exact,1,1,0,ehandbook - Course Registration,ehandbook_page,"{""ehandbook_page"": 4, ""portal_notice"": 1}"
s30_001,language,en,R3_reranker,1,1,0,JLP Leaflet,pdf_document,"{""pdf_document"": 4, ""portal_notice"": 1}"
s30_002,registration,en,R3_reranker,1,1,1,Mental Health,course_record,"{""course_record"": 2, ""ehandbook_page"": 3}"
s30_003,registration,en,R3_reranker,1,1,0,ehandbook - FAQ,ehandbook_page,"{""ehandbook_page"": 5}"
s30_004,major,en,R3_reranker,1,1,0,ehandbook - Study Abroad (Summer Abroad Programs),ehandbook_page,"{""ehandbook_page"": 1, ""web_page"": 3, ""pdf_document"": 1}"
s30_005,graduation,en,R3_reranker,0,0,1,Senior Thesis,course_record,"{""course_record"": 5}"
s30_006,student_status,en,R3_reranker,1,1,1,Elements of Discrete Mathematics,course_record,"{""course_record"": 2, ""web_page"": 2, ""ehandbook_page"": 1}"
s30_007,student_support,en,R3_reranker,1,1,1,Counseling,course_record,"{""course_record"": 2, ""web_page"": 3}"
s30_008,student_support,en,R3_reranker,0,0,1,Senior Thesis,course_record,"{""course_record"": 4, ""pdf_document"": 1}"
s30_009,it,en,R3_reranker,1,1,0,IT Center For ALL Users - To Students Graduating,web_page,"{""web_page"": 3, ""portal_notice"": 2}"
s30_010,language,ja,R3_reranker,1,1,0,ELA生のためのJLP科目について,portal_notice,"{""portal_notice"": 2, ""pdf_document"": 3}"
s30_011,campus_life,en,R3_reranker,1,1,0,Self-Study/Evaluation Report 2023,pdf_document,"{""pdf_document"": 1, ""web_page"": 4}"
s30_012,calendar,en,R3_reranker,1,1,0,AY2026 Spring Term Registration – Course Registration Procedures,portal_notice,"{""portal_notice"": 4, ""portal_calendar_event"": 1}"
s30_013,credits,en,R3_reranker,1,1,0,ehandbook - Transfer Students,ehandbook_page,"{""ehandbook_page"": 4, ""web_page"": 1}"
s30_014,office,ja,R3_reranker,1,1,0,ehandbook - 2024.11.27 2024年度第3学期 教務グループからの重要なお知らせ(冬学期登録版),ehandbook_page,"{""ehandbook_page"": 5}"
s30_015,policy,en,R3_reranker,1,1,0,Updated Information for ICU Long-term Loans,portal_notice,"{""portal_notice"": 3, ""web_page"": 2}"
s30_016,course,en,R3_reranker,1,0,1,Logic,course_record,"{""course_record"": 5}"
s30_017,course,en,R3_reranker,1,0,1,S2: Statistical Information Literacy,course_record,"{""course_record"": 5}"
s30_018,course,ja,R3_reranker,1,0,1,Middle English,course_record,"{""course_record"": 5}"
s30_019,registration,ja,R3_reranker,1,1,0,ehandbook - 第3学期,ehandbook_page,"{""ehandbook_page"": 5}"
s30_020,course_materials,en,R3_reranker,1,1,1,Systems Biology,course_record,"{""course_record"": 2, ""portal_notice"": 3}"
s30_021,curriculum,en,R3_reranker,0,0,1,Global Governance,course_record,"{""course_record"": 5}"
s30_022,curriculum,en,R3_reranker,0,0,1,Global Governance,course_record,"{""course_record"": 5}"
