label,slug,family,size_b,row_count,faithfulness,faithfulness_missing,answer_relevancy,answer_relevancy_missing,answer_correctness,answer_correctness_missing,answer_similarity,answer_similarity_missing,overall_score,generated_rows,empty_answers,fallback_answers,avg_latency_seconds,judge_model,embedding_model
Qwen3.5 0.8B (HF),Qwen_Qwen3.5-0.8B,Qwen3.5,0.8,50,0.768066330264163,0,0.7438198100954965,0,0.3157188692477561,0,0.5339569331993786,0,0.5903904857016986,50,0,0,6.95504,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
Qwen3.5 2B (HF),Qwen_Qwen3.5-2B,Qwen3.5,2.0,50,0.8546163459519497,0,0.7626649130559491,0,0.365866659684849,0,0.5644188779212113,0,0.6368916991534898,50,0,0,6.28462,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
Gemma 3 4B,google_gemma-3-4b-it,Gemma 3,4.0,50,0.8676482406482406,0,0.7678148283424855,0,0.3775576298387468,0,0.5853383761113836,0,0.6495897687352141,50,0,0,30.085340000000002,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
Qwen3.5 4B (HF),Qwen_Qwen3.5-4B,Qwen3.5,4.0,50,0.8679506403469252,0,0.6784558850547217,0,0.40670440892141374,0,0.5770786877549596,0,0.6325474055195051,50,0,0,9.07906,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
Gemma 3 12B,google_gemma-3-12b-it,Gemma 3,12.0,50,0.9138225108225109,0,0.6825248526481432,0,0.4111735299188968,0,0.5926248388667349,0,0.6500364330640714,50,0,0,3.32294,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
Gemma 3 27B,google_gemma-3-27b-it,Gemma 3,27.0,50,0.8900165945165945,0,0.5743503475694748,0,0.39740972340785546,0,0.6036710419269603,0,0.6163619268552213,50,0,0,4.56498,openai/gpt-4.1-mini,Qwen/Qwen3-Embedding-0.6B
