condition_id,model,mode,cluster,pca_1,pca_2,pca_3,faithfulness,answer_relevancy,answer_correctness,semantic_similarity,answer_acceptance,readability,citation_usefulness,over_answering_safety,over_answering_risk,nearest_label,nearest_distance
C01,Qwen_Qwen3.5-0.8B,non_thinking,C1,-4.119455323249555,-0.5585794997240033,0.30408994679784,0.6260875747059957,0.7526398614894273,0.12045047793210002,0.434357205887244,0.7,1.35,0.55,0.6000000000000001,1.4,C02,3.221326772714901
C02,Qwen_Qwen3.5-2B,non_thinking,C1,-1.1299572785614513,0.5068479628378204,-0.24791724467240941,0.739269120691755,0.7581064968448503,0.15097245443108492,0.4490737498609688,1.15,1.55,1.3,1.2,0.8,C03,2.506461473987058
C03,Qwen_Qwen3.5-4B,non_thinking,C2,0.9978569920892448,1.524832807595568,-1.0955388619286968,0.7433660783660784,0.7589098207791842,0.2001941940819422,0.4611389995459535,1.65,1.75,1.8,1.55,0.45,C02,2.506461473987058
C04,google_gemma-4-E2B-it,non_thinking,C2,2.0699660464039544,0.3242100840446611,1.8072374335115557,0.844978354978355,0.8203303441513103,0.2053802040552814,0.4571281684600027,1.6,1.0,1.8,1.8,0.2,C03,3.319190107544341
C05,google_gemma-4-E4B-it,non_thinking,C2,2.1815895633178064,-1.7973113547540454,-0.7678712737082883,0.86625,0.7223295891753285,0.2591153669280313,0.4586538079776126,1.5,0.9,1.6,1.8,0.2,C04,3.338337592097331
